2026-04-09T13:02:00.718919300Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.29 time=2026-04-09T13:01:50Z
2026-04-09T15:34:12.195714737Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.94 time=2026-04-09T15:34:01Z
2026-04-09T15:34:12.195722251Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=76 price=82.94 allow=0 mode=blocked reclaimAge=na ext21=0.821 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,too_extended_ema21,too_extended_ema18,no_breakout_clearance,no_recent_reclaim lastAction=enter_long_blocked_filter
2026-04-09T15:37:21.839810291Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.29 time=2026-04-09T15:37:16Z
2026-04-09T15:37:21.839815799Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=77 price=83.29 allow=0 mode=blocked reclaimAge=na ext21=1.106 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,too_extended_ema21,too_extended_ema18,no_breakout_clearance,no_recent_reclaim lastAction=enter_long_blocked_filter
2026-04-09T15:40:22.031627630Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.14 time=2026-04-09T15:40:16Z
2026-04-09T15:40:22.031631966Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=78 price=83.14 allow=0 mode=blocked reclaimAge=na ext21=0.851 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,too_extended_ema21,too_extended_ema18,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:43:23.272881669Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.31 time=2026-04-09T15:43:16Z
2026-04-09T15:43:23.272887065Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=79 price=83.31 allow=0 mode=blocked reclaimAge=na ext21=0.965 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,too_extended_ema21,too_extended_ema18,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:46:33.671754343Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.37 time=2026-04-09T15:46:31Z
2026-04-09T15:46:33.671760582Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=80 price=83.37 allow=0 mode=blocked reclaimAge=na ext21=0.936 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,not_bull_candle,too_extended_ema21,too_extended_ema18,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:49:33.520739136Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.57 time=2026-04-09T15:49:31Z
2026-04-09T15:49:33.520747592Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=81 price=83.57 allow=0 mode=blocked reclaimAge=na ext21=1.070 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,too_extended_ema21,too_extended_ema18,no_breakout_clearance,no_recent_reclaim lastAction=enter_long_blocked_filter
2026-04-09T15:52:33.202075178Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.61 time=2026-04-09T15:52:31Z
2026-04-09T15:52:33.202085872Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=82 price=83.61 allow=0 mode=blocked reclaimAge=na ext21=1.019 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,too_extended_ema21,too_extended_ema18,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:55:33.783222773Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.76 time=2026-04-09T15:55:32Z
2026-04-09T15:55:33.783227994Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=83 price=83.76 allow=0 mode=blocked reclaimAge=na ext21=1.070 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,not_bull_candle,too_extended_ema21,too_extended_ema18,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T15:58:53.756097503Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.67 time=2026-04-09T15:58:46Z
2026-04-09T15:58:53.756102685Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=84 price=83.67 allow=0 mode=blocked reclaimAge=na ext21=0.865 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,too_extended_ema21,too_extended_ema18,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T16:01:54.306108320Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.95 time=2026-04-09T16:01:47Z
2026-04-09T16:01:54.306117022Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=85 price=83.95 allow=0 mode=blocked reclaimAge=na ext21=1.088 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,too_extended_ema21,too_extended_ema18,no_breakout_clearance,no_recent_reclaim lastAction=enter_long_blocked_filter
2026-04-09T16:05:14.159384426Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=84.08 time=2026-04-09T16:05:01Z
2026-04-09T16:05:14.159391271Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=86 price=84.08 allow=0 mode=blocked reclaimAge=na ext21=1.122 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,fwo_not_recovered,not_bull_candle,too_extended_ema21,too_extended_ema18,no_breakout_clearance,no_recent_reclaim lastAction=enter_long_blocked_filter
2026-04-09T16:08:24.767146835Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.79 time=2026-04-09T16:08:16Z
2026-04-09T16:08:24.767153940Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=87 price=83.79 allow=0 mode=blocked reclaimAge=na ext21=0.710 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T16:11:24.580231887Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.81 time=2026-04-09T16:11:16Z
2026-04-09T16:11:24.580238915Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=88 price=83.81 allow=0 mode=blocked reclaimAge=na ext21=0.654 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T16:14:35.046562727Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.73 time=2026-04-09T16:14:31Z
2026-04-09T16:14:35.046567542Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=89 price=83.73 allow=0 mode=blocked reclaimAge=na ext21=0.503 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T16:17:34.869117337Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.96 time=2026-04-09T16:17:31Z
2026-04-09T16:17:34.869124926Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=90 price=83.96 allow=0 mode=blocked reclaimAge=na ext21=0.706 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
2026-04-09T16:20:55.370462488Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.99 time=2026-04-09T16:20:46Z
2026-04-09T16:20:55.370466875Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=91 price=83.99 allow=0 mode=blocked reclaimAge=na ext21=0.673 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,fwo_not_recovered,fwo_not_rising,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim lastAction=enter_long_blocked_filter
2026-04-09T16:23:55.175525248Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=83.89 time=2026-04-09T16:23:46Z
2026-04-09T16:23:55.175533510Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=92 price=83.89 allow=0 mode=blocked reclaimAge=na ext21=0.503 hostile=0 reasons=no_recent_damage,low_too_old,no_fresh_reclaim,weak_body,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,no_launch_break_flag,no_breakout_clearance,too_extended_ema18,too_extended_ema21,no_recent_reclaim,no_hold_continuation_clearance lastAction=enter_long_blocked_filter
