2026-04-08T12:22:23.204205762Z [inf]  ✅ RECOVERY_MIN_SCORE=5
2026-04-08T13:03:07.639184021Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:03:07.639195581Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.51 ema8=84.55003549691597 ema18=84.51955904873928 ema50=84.52400834606955 rsi=49.89998855376049 atr=0.1284383134347243 atrPct=0.1519800182637845 adx=16.19201350790249 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.0354861603974463 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:03:07.639200571Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:03:07.639205081Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:03:16.738536356Z [inf]  📦 3C PAYLOAD {"secret":"eyJhbGciOiJIUzI1NiJ9.eyJzaWduYWxzX3NvdXJjZV9pZCI6MTUzMTM5fQ.Srf5-FSdAd7Pw3quIqIGiYAdE2cznVvSAETQD1uet8I","bot_uuid":"26626591-bb3e-4cda-8638-d3f6ce328a74","max_lag":"301","timestamp":"2026-04-08T13:03:16.737Z","trigger_price":"84.51","tv_exchange":"BINANCE","tv_instrument":"SOLUSDT","action":"exit_long","comment":"BrainPhase2_DemoLong_v3.7i|exit|reason=trend_lost"}
2026-04-08T13:03:17.017631317Z [inf]  📦 3C RESPONSE status=200 body=
2026-04-08T13:03:17.017652666Z [inf]  📨 3Commas exit_long status=200
2026-04-08T13:03:17.017658026Z [inf]  🧹 Setup cleared (after_exit) type=na
2026-04-08T13:03:17.017661836Z [inf]  📤 EXIT BINANCE:SOLUSDT reason=trend_lost price=84.5100 cooldownSec=180
2026-04-08T13:03:47.029709221Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.48 time=2026-04-08T13:03:46.732Z
2026-04-08T13:04:27.086110799Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:04:27.086115969Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:04:27.086118909Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:04:27.086121859Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:06:07.267007214Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:06:07.267013034Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.48 ema8=84.53447205315686 ema18=84.51539493834568 ema50=84.52228252857662 rsi=48.26562364971894 atr=0.1264070053322436 atrPct=0.149629504417902 adx=15.244641942814496 oiTrend=1 oiDeltaBias=0 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.0354987575434873 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:06:07.267017294Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:07:07.012015818Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.68 time=2026-04-08T13:07:02.369Z
2026-04-08T13:07:27.039805744Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:07:27.039809194Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:07:27.039812874Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:07:27.039815964Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:09:07.226079094Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:09:07.226084314Z [inf]  🔎 SETUPCHK localLow=84.4800 ema50=84.5328 washout=0 reclaimed=1 rsiUp=1
2026-04-08T13:09:07.226087774Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:09:07.226137153Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:09:07.226141033Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.79 ema8=84.59125604134422 ema18=84.54430073430929 ema50=84.53278125294617 rsi=62.084914186589856 atr=0.1530922192370834 atrPct=0.1805545692146283 adx=17.171572344468494 oiTrend=1 oiDeltaBias=1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.3669507575757602 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:10:06.950615664Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.81 time=2026-04-08T13:10:04.364Z
2026-04-08T13:10:26.952307404Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:10:26.952315073Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:10:26.952319943Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:10:26.952324703Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:12:07.131837602Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:12:07.131840972Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.41 ema8=84.5509769210455 ema18=84.5301638149083 ema50=84.52796630185024 rsi=45.89957569504177 atr=0.1728713464344341 atrPct=0.2047996048269566 adx=18.1114893872719 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.4481660573180913 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:12:07.131844482Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T13:12:07.131848232Z [inf]  🔎 SETUPCHK localLow=84.4100 ema50=84.5280 washout=0 reclaimed=0 rsiUp=0
2026-04-08T13:12:07.131851742Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:12:26.821434815Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=200 px=84.52
2026-04-08T13:13:16.858762983Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.55 time=2026-04-08T13:13:16.681Z
2026-04-08T13:13:22.738942244Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:13:22.919836583Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:13:22.919839903Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:13:22.919843803Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:15:13.175765806Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:15:13.175770556Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.58 ema8=84.5574264941465 ema18=84.53540972912849 ema50=84.53000683903258 rsi=51.93631935609128 atr=0.1805233931176888 atrPct=0.2134350829010273 adx=18.984269498446487 oiTrend=1 oiDeltaBias=1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.2013979386328654 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:15:13.175775686Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T13:15:13.175780796Z [inf]  🔎 SETUPCHK localLow=84.4100 ema50=84.5300 washout=0 reclaimed=1 rsiUp=1
2026-04-08T13:15:13.175786206Z [inf]  🟩 Armed shallow_recovery_reclaim trigger=84.5800 level=84.5574 inv=84.2395 score=9 flow=3
2026-04-08T13:15:16.648878788Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.2 nearEma8Pct=0.003 nearEma18Pct=0.029 bouncePct=-0.024 score=9 flow=3
2026-04-08T13:15:36.641672244Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.4 nearEma8Pct=0.068 nearEma18Pct=0.042 bouncePct=-0.095 score=9 flow=3
2026-04-08T13:15:56.640263130Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.7 nearEma8Pct=0.056 nearEma18Pct=0.030 bouncePct=-0.083 score=9 flow=3
2026-04-08T13:16:02.541200516Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=0.9 nearEma8Pct=0.015 nearEma18Pct=0.041 bouncePct=-0.012 score=9 flow=3
2026-04-08T13:16:22.540077690Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.55 time=2026-04-08T13:16:16.777Z
2026-04-08T13:16:22.540084940Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=1.2 nearEma8Pct=0.009 nearEma18Pct=0.017 bouncePct=-0.035 score=9 flow=3
2026-04-08T13:16:22.738123066Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:16:22.937226696Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:16:22.937233036Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:16:22.937237116Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:16:31.789953319Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=1.4 nearEma8Pct=0.021 nearEma18Pct=0.005 bouncePct=-0.047 score=9 flow=3
2026-04-08T13:18:11.941926207Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:18:11.941929307Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.72 ema8=84.59355393989172 ema18=84.55484028395706 ema50=84.53745755122738 rsi=56.26445083577772 atr=0.1840574364664256 atrPct=0.2172538201917205 adx=19.95052334957926 oiTrend=0 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.1655237644833301 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:18:11.941931987Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T13:18:11.941934667Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=1 type=shallow_recovery_reclaim setupAgeMin=2.9 score=9 grade=SR flow=3 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:18:11.941937017Z [inf]  🎯 recovery entry check type=shallow_recovery_reclaim ageMin=2.9 nearEma8Pct=0.149 nearEma18Pct=0.195 bouncePct=0.166 score=9 flow=3
2026-04-08T13:18:11.941939727Z [inf]  📥 ENTER BINANCE:SOLUSDT BrainPhase2_DemoLong_v3.7i|shallow_recovery_reclaim|score=9|grade=SR|flow=3|reg=trend|riskPct=0.35|riskUsd=4.0|stopDist=0.56712|volPct=23.45|flowCap=45.00|oiT=0|oiD=0|cvd=1|liq=0|drop=0.1655237644833301|pA=0 price=84.72 sizeMult=0.38|note=recovery confirmed
2026-04-08T13:18:11.941942477Z [inf]  📦 3C PAYLOAD {"secret":"eyJhbGciOiJIUzI1NiJ9.eyJzaWduYWxzX3NvdXJjZV9pZCI6MTUzMTM5fQ.Srf5-FSdAd7Pw3quIqIGiYAdE2cznVvSAETQD1uet8I","bot_uuid":"26626591-bb3e-4cda-8638-d3f6ce328a74","max_lag":"301","timestamp":"2026-04-08T13:18:02.152Z","trigger_price":"84.72","tv_exchange":"BINANCE","tv_instrument":"SOLUSDT","action":"enter_long","comment":"BrainPhase2_DemoLong_v3.7i|shallow_recovery_reclaim|score=9|grade=SR|flow=3|reg=trend|riskPct=0.35|riskUsd=3.99|stopDist=0.56712|volPct=23.45|flowCap=45.00|oiT=0|oiD=0|cvd=1|liq=0|drop=0.1655237644833301|pA=0","order":{"amount":"23.45","currency_type":"margin_percent","order_type":"market"}}
2026-04-08T13:18:11.941945257Z [inf]  📦 3C RESPONSE status=200 body=
2026-04-08T13:18:11.941948277Z [inf]  📨 3Commas enter_long status=200
2026-04-08T13:18:11.942787245Z [inf]  🧹 Setup cleared (entered) type=shallow_recovery_reclaim
2026-04-08T13:19:21.577014401Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.68 time=2026-04-08T13:19:16.956Z
2026-04-08T13:19:22.976375954Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:21:02.798700044Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:21:02.798703954Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.53 ema8=84.57943084213801 ema18=84.55222551722474 ema50=84.53716509823806 rsi=49.72064476387368 atr=0.1944819052902522 atrPct=0.2300744177099872 adx=21.378184137831067 oiTrend=1 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=0 priceDropPct=-0.2242681775259652 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:21:02.798708034Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T13:21:02.798710544Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:22:22.809489125Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.6 time=2026-04-08T13:22:18.745Z
2026-04-08T13:22:22.809493035Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:24:03.171077467Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:24:03.171081087Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.63 ema8=84.59066843277401 ema18=84.56041230488529 ema50=84.54080568262088 rsi=52.83015417260939 atr=0.192018912055234 atrPct=0.2268922510400969 adx=22.703869155493457 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.1183011948420612 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:24:03.171084477Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T13:24:03.171087987Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:24:52.873111058Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=250 px=84.66
2026-04-08T13:25:22.876303699Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:25:31.924190374Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.69 time=2026-04-08T13:25:31.918Z
2026-04-08T13:27:02.071147748Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:27:02.071154798Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.71 ema8=84.61718655882423 ema18=84.57615837805525 ema50=84.54744075389065 rsi=55.21629914414863 atr=0.1854461326227179 atrPct=0.2189188202369471 adx=24.257090343199007 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.0945291267871893 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:27:02.071158098Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T13:27:02.071161448Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:28:32.718938107Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:28:52.720554373Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.73 time=2026-04-08T13:28:46.884Z
2026-04-08T13:30:12.383960653Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:30:12.383972793Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.72 ema8=84.64003399019663 ema18=84.59129960141786 ema50=84.55420778314985 rsi=55.51919941439705 atr=0.1821999802925238 atrPct=0.2150613553972188 adx=25.956631543765546 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.0118049817022844 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:30:12.383979003Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.8
2026-04-08T13:30:12.383983353Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:31:32.623616457Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:32:12.270821846Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.62 time=2026-04-08T13:32:04.012Z
2026-04-08T13:33:12.299830140Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:33:12.299836039Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.49 ema8=84.60669310348626 ema18=84.58063648547913 ema50=84.55168983086946 rsi=47.55270232015664 atr=0.2027571245573434 atrPct=0.2399776595541998 adx=25.703269104400242 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=1 priceDropPct=-0.2714825306893343 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:33:12.299840009Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.8
2026-04-08T13:33:12.299844119Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 grade=na flow=0 inPos=1 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:33:17.154050418Z [inf]  📦 3C PAYLOAD {"secret":"eyJhbGciOiJIUzI1NiJ9.eyJzaWduYWxzX3NvdXJjZV9pZCI6MTUzMTM5fQ.Srf5-FSdAd7Pw3quIqIGiYAdE2cznVvSAETQD1uet8I","bot_uuid":"26626591-bb3e-4cda-8638-d3f6ce328a74","max_lag":"301","timestamp":"2026-04-08T13:33:16.690Z","trigger_price":"84.48","tv_exchange":"BINANCE","tv_instrument":"SOLUSDT","action":"exit_long","comment":"BrainPhase2_DemoLong_v3.7i|exit|reason=trend_lost"}
2026-04-08T13:33:17.224163760Z [inf]  📦 3C RESPONSE status=200 body=
2026-04-08T13:33:17.224170219Z [inf]  📨 3Commas exit_long status=200
2026-04-08T13:33:17.224174399Z [inf]  🧹 Setup cleared (after_exit) type=na
2026-04-08T13:33:17.224178579Z [inf]  📤 EXIT BINANCE:SOLUSDT reason=trend_lost price=84.4800 cooldownSec=180
2026-04-08T13:34:26.928469218Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:34:26.928482577Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:34:26.928489267Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:34:26.928494147Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:35:06.927171346Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.51 time=2026-04-08T13:35:06.862Z
2026-04-08T13:36:07.217887026Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:36:07.217894706Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.4 ema8=84.56076130271154 ema18=84.5616221185866 ema50=84.54574121005105 rsi=44.84125410652511 atr=0.2097030442318187 atrPct=0.2484633225495482 adx=24.430029900910565 oiTrend=0 oiDeltaBias=0 cvdTrend=-1 liqClusterBelow=1 priceDropPct=-0.1065214818321567 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:36:07.217898526Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:37:27.515965266Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:37:27.515975526Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:37:27.515981036Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:37:27.516043935Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=300 px=84.32
2026-04-08T13:37:27.516050395Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:38:17.269534354Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.18 time=2026-04-08T13:38:16.680Z
2026-04-08T13:39:07.299196927Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:39:07.299200497Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.23 ema8=84.48725879099787 ema18=84.52671452715643 ema50=84.53335920181375 rsi=40.18072738934703 atr=0.2147242553581174 atrPct=0.2549261015767748 adx=23.226030311602933 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.2014218009478693 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:39:07.299205107Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:39:07.299209227Z [inf]  🔎 SETUPCHK localLow=84.2300 ema50=84.5334 washout=0 reclaimed=0 rsiUp=0
2026-04-08T13:39:07.299212847Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:40:27.015442072Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:40:27.015445992Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:40:27.015449292Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:40:27.015452281Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:41:37.073478999Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.01 time=2026-04-08T13:41:31.666Z
2026-04-08T13:42:06.691372484Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:42:06.691383494Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.08 ema8=84.3967568374428 ema18=84.4796919453505 ema50=84.51558040958577 rsi=36.569133249550156 atr=0.2165296656896801 atrPct=0.2575281466337774 adx=22.990298148165035 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.1780838181170672 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:42:06.691388844Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:42:06.691393503Z [inf]  🔎 SETUPCHK localLow=84.0800 ema50=84.5156 washout=1 reclaimed=0 rsiUp=0
2026-04-08T13:42:06.691397343Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:43:26.734445040Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:43:26.734450830Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:43:26.734455290Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:43:26.734459410Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:44:36.867842431Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.1 time=2026-04-08T13:44:31.902Z
2026-04-08T13:45:16.624124008Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:45:16.624130488Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.03 ema8=84.31525531801107 ema18=84.43235595110308 ema50=84.49653804058241 rsi=35.4260769142885 atr=0.2174918324261308 atrPct=0.2588264101227309 adx=22.86663381699929 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.0594671741198824 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:45:16.624134858Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:45:16.624137928Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4965 washout=1 reclaimed=0 rsiUp=0
2026-04-08T13:45:16.624140798Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:46:26.643599089Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:46:26.643606229Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:46:26.643610769Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:46:26.643614479Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:47:56.888316953Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.29 time=2026-04-08T13:47:51.765Z
2026-04-08T13:48:03.347070770Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:48:03.347097459Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.31 ema8=84.31408746956417 ema18=84.41947637730276 ema50=84.48922282330467 rsi=45.66799723018348 atr=0.2290995586814068 atrPct=0.2717347392734039 adx=21.785915978251072 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=0.3332143282161146 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
